"","STL","ATL","Series Winner"
"509","1","3","ATL"
"510","1","3","ATL"
"511","3","2","STL"
"512","3","1","STL"
"513","2","3","ATL"
"514","0","3","ATL"
"515","0","3","ATL"
"516","3","1","STL"
"517","1","3","ATL"
"518","3","1","STL"
"519","3","0","STL"
"520","1","3","ATL"
"521","1","3","ATL"
"522","1","3","ATL"
"523","1","3","ATL"
"524","3","2","STL"
"525","3","1","STL"
"526","3","2","STL"
"527","3","2","STL"
"528","0","3","ATL"
"529","1","3","ATL"
"530","1","3","ATL"
"531","0","3","ATL"
"532","3","1","STL"
"533","3","1","STL"
"534","3","1","STL"
"535","1","3","ATL"
"536","0","3","ATL"
"537","1","3","ATL"
"538","0","3","ATL"
"539","1","3","ATL"
"540","1","3","ATL"
"541","0","3","ATL"
"542","3","0","STL"
"543","1","3","ATL"
"544","0","3","ATL"
"545","3","2","STL"
"546","2","3","ATL"
"547","2","3","ATL"
"548","3","2","STL"
"549","1","3","ATL"
"550","1","3","ATL"
"551","2","3","ATL"
"552","1","3","ATL"
"553","0","3","ATL"
"554","3","2","STL"
"555","1","3","ATL"
"556","3","2","STL"
"557","3","0","STL"
"558","3","0","STL"
"559","3","0","STL"
"560","1","3","ATL"
"561","3","2","STL"
"562","3","2","STL"
"563","3","2","STL"
"564","3","1","STL"
"565","1","3","ATL"
"566","1","3","ATL"
"567","1","3","ATL"
"568","3","2","STL"
"569","0","3","ATL"
"570","3","0","STL"
"571","3","1","STL"
"572","1","3","ATL"
"573","1","3","ATL"
"574","3","0","STL"
"575","2","3","ATL"
"576","1","3","ATL"
"577","3","2","STL"
"578","1","3","ATL"
"579","0","3","ATL"
"580","2","3","ATL"
"581","1","3","ATL"
"582","1","3","ATL"
"583","3","2","STL"
"584","1","3","ATL"
"585","1","3","ATL"
"586","3","1","STL"
"587","1","3","ATL"
"588","1","3","ATL"
"589","3","0","STL"
"590","3","2","STL"
"591","3","2","STL"
"592","2","3","ATL"
"593","1","3","ATL"
"594","0","3","ATL"
"595","3","0","STL"
"596","3","1","STL"
"597","2","3","ATL"
"598","1","3","ATL"
"599","1","3","ATL"
"600","3","2","STL"
"601","2","3","ATL"
"602","2","3","ATL"
"603","2","3","ATL"
"604","3","2","STL"
"605","1","3","ATL"
"606","1","3","ATL"
"607","3","0","STL"
"608","2","3","ATL"
"609","3","1","STL"
"610","2","3","ATL"
"611","3","0","STL"
"612","3","2","STL"
"613","3","2","STL"
"614","3","0","STL"
"615","0","3","ATL"
"616","0","3","ATL"
"617","1","3","ATL"
"618","3","1","STL"
"619","3","0","STL"
"620","1","3","ATL"
"621","0","3","ATL"
"622","3","1","STL"
"623","0","3","ATL"
"624","1","3","ATL"
"625","2","3","ATL"
"626","3","2","STL"
"627","1","3","ATL"
"628","1","3","ATL"
"629","3","1","STL"
"630","1","3","ATL"
"631","2","3","ATL"
"632","2","3","ATL"
"633","0","3","ATL"
"634","0","3","ATL"
"635","3","1","STL"
"636","3","2","STL"
"637","3","1","STL"
"638","1","3","ATL"
"639","2","3","ATL"
"640","0","3","ATL"
"641","1","3","ATL"
"642","3","2","STL"
"643","1","3","ATL"
"644","3","2","STL"
"645","2","3","ATL"
"646","3","2","STL"
"647","3","1","STL"
"648","3","1","STL"
"649","3","2","STL"
"650","3","1","STL"
"651","3","0","STL"
"652","2","3","ATL"
"653","2","3","ATL"
"654","2","3","ATL"
"655","0","3","ATL"
"656","3","1","STL"
"657","2","3","ATL"
"658","3","0","STL"
"659","3","0","STL"
"660","0","3","ATL"
"661","0","3","ATL"
"662","3","1","STL"
"663","3","1","STL"
"664","3","2","STL"
"665","3","1","STL"
"666","2","3","ATL"
"667","1","3","ATL"
"668","0","3","ATL"
"669","1","3","ATL"
"670","0","3","ATL"
"671","3","1","STL"
"672","2","3","ATL"
"673","3","2","STL"
"674","0","3","ATL"
"675","1","3","ATL"
"676","2","3","ATL"
"677","1","3","ATL"
"678","3","2","STL"
"679","1","3","ATL"
"680","3","2","STL"
"681","3","0","STL"
"682","1","3","ATL"
"683","3","2","STL"
"684","1","3","ATL"
"685","3","0","STL"
"686","2","3","ATL"
"687","2","3","ATL"
"688","2","3","ATL"
"689","3","0","STL"
"690","1","3","ATL"
"691","2","3","ATL"
"692","0","3","ATL"
"693","3","0","STL"
"694","3","2","STL"
"695","1","3","ATL"
"696","1","3","ATL"
"697","0","3","ATL"
"698","3","1","STL"
"699","3","0","STL"
"700","1","3","ATL"
"701","1","3","ATL"
"702","1","3","ATL"
"703","3","0","STL"
"704","1","3","ATL"
"705","3","2","STL"
"706","2","3","ATL"
"707","2","3","ATL"
"708","3","0","STL"
"709","1","3","ATL"
"710","1","3","ATL"
"711","2","3","ATL"
"712","1","3","ATL"
"713","2","3","ATL"
"714","0","3","ATL"
"715","3","1","STL"
"716","1","3","ATL"
"717","1","3","ATL"
"718","3","2","STL"
"719","3","0","STL"
"720","1","3","ATL"
"721","1","3","ATL"
"722","1","3","ATL"
"723","1","3","ATL"
"724","2","3","ATL"
"725","3","1","STL"
"726","1","3","ATL"
"727","3","0","STL"
"728","0","3","ATL"
"729","3","1","STL"
"730","3","2","STL"
"731","1","3","ATL"
"732","3","1","STL"
"733","2","3","ATL"
"734","1","3","ATL"
"735","1","3","ATL"
"736","1","3","ATL"
"737","1","3","ATL"
"738","1","3","ATL"
"739","3","1","STL"
"740","3","1","STL"
"741","2","3","ATL"
"742","3","1","STL"
"743","0","3","ATL"
"744","2","3","ATL"
"745","3","1","STL"
"746","3","1","STL"
"747","0","3","ATL"
"748","1","3","ATL"
"749","1","3","ATL"
"750","0","3","ATL"
"751","3","1","STL"
"752","1","3","ATL"
"753","0","3","ATL"
"754","1","3","ATL"
"755","3","2","STL"
"756","3","1","STL"
"757","3","0","STL"
"758","2","3","ATL"
"759","0","3","ATL"
"760","1","3","ATL"
"761","3","1","STL"
"762","1","3","ATL"
"763","2","3","ATL"
"764","3","2","STL"
"765","2","3","ATL"
"766","2","3","ATL"
"767","3","2","STL"
"768","3","0","STL"
"769","0","3","ATL"
"770","0","3","ATL"
"771","2","3","ATL"
"772","2","3","ATL"
"773","3","1","STL"
"774","3","1","STL"
"775","1","3","ATL"
"776","3","2","STL"
"777","3","1","STL"
"778","3","1","STL"
"779","1","3","ATL"
"780","2","3","ATL"
"781","1","3","ATL"
"782","1","3","ATL"
"783","2","3","ATL"
"784","0","3","ATL"
"785","3","0","STL"
"786","0","3","ATL"
"787","3","2","STL"
"788","1","3","ATL"
"789","0","3","ATL"
"790","1","3","ATL"
"791","3","2","STL"
"792","3","2","STL"
"793","2","3","ATL"
"794","1","3","ATL"
"795","3","2","STL"
"796","1","3","ATL"
"797","3","2","STL"
"798","2","3","ATL"
"799","3","2","STL"
"800","1","3","ATL"
"801","3","1","STL"
"802","1","3","ATL"
"803","2","3","ATL"
"804","3","0","STL"
"805","3","1","STL"
"806","1","3","ATL"
"807","1","3","ATL"
"808","0","3","ATL"
"809","1","3","ATL"
"810","1","3","ATL"
"811","1","3","ATL"
"812","1","3","ATL"
"813","0","3","ATL"
"814","3","1","STL"
"815","1","3","ATL"
"816","3","0","STL"
"817","3","2","STL"
"818","2","3","ATL"
"819","3","2","STL"
"820","1","3","ATL"
"821","1","3","ATL"
"822","3","2","STL"
"823","1","3","ATL"
"824","1","3","ATL"
"825","3","1","STL"
"826","0","3","ATL"
"827","2","3","ATL"
"828","3","2","STL"
"829","3","2","STL"
"830","1","3","ATL"
"831","2","3","ATL"
"832","2","3","ATL"
"833","2","3","ATL"
"834","2","3","ATL"
"835","1","3","ATL"
"836","3","2","STL"
"837","0","3","ATL"
"838","0","3","ATL"
"839","0","3","ATL"
