"","TBR","OAK","Winner"
"702","10","6","TBR"
"703","8","4","TBR"
"704","5","4","TBR"
"705","3","3","OAK"
"706","8","2","TBR"
"707","3","7","OAK"
"708","4","4","OAK"
"709","4","1","TBR"
"710","2","5","OAK"
"711","3","2","TBR"
"712","10","6","TBR"
"713","7","6","TBR"
"714","8","7","TBR"
"715","6","5","TBR"
"716","5","8","OAK"
"717","3","4","OAK"
"718","6","3","TBR"
"719","2","2","TBR"
"720","9","7","TBR"
"721","5","6","OAK"
"722","11","1","TBR"
"723","9","4","TBR"
"724","2","6","OAK"
"725","5","2","TBR"
"726","6","2","TBR"
"727","4","5","OAK"
"728","1","10","OAK"
"729","2","7","OAK"
"730","3","6","OAK"
"731","2","6","OAK"
"732","8","3","TBR"
"733","4","9","OAK"
"734","1","9","OAK"
"735","1","13","OAK"
"736","1","6","OAK"
"737","0","7","OAK"
"738","5","5","OAK"
"739","4","3","TBR"
"740","9","4","TBR"
"741","1","4","OAK"
"742","5","7","OAK"
"743","3","4","OAK"
"744","7","4","TBR"
"745","5","9","OAK"
"746","10","4","TBR"
"747","4","10","OAK"
"748","6","2","TBR"
"749","5","7","OAK"
"750","5","2","TBR"
"751","1","9","OAK"
"752","8","9","OAK"
"753","10","1","TBR"
"754","6","11","OAK"
"755","0","0","OAK"
"756","5","0","TBR"
"757","4","9","OAK"
"758","1","6","OAK"
"759","6","8","OAK"
"760","6","3","TBR"
"761","2","6","OAK"
"762","6","3","TBR"
"763","1","7","OAK"
"764","2","8","OAK"
"765","3","1","TBR"
"766","3","7","OAK"
"767","8","1","TBR"
"768","6","5","TBR"
"769","7","6","TBR"
"770","7","6","TBR"
"771","4","6","OAK"
"772","5","10","OAK"
"773","1","5","OAK"
"774","4","3","TBR"
"775","1","6","OAK"
"776","3","3","TBR"
"777","5","9","OAK"
"778","9","7","TBR"
"779","5","4","TBR"
"780","10","2","TBR"
"781","8","3","TBR"
"782","6","4","TBR"
"783","4","5","OAK"
"784","3","10","OAK"
"785","2","4","OAK"
"786","6","16","OAK"
"787","4","4","TBR"
"788","3","7","OAK"
"789","0","2","OAK"
"790","9","5","TBR"
"791","3","5","OAK"
"792","9","10","OAK"
"793","5","1","TBR"
"794","3","1","TBR"
"795","6","6","OAK"
"796","4","1","TBR"
"797","7","13","OAK"
"798","3","9","OAK"
"799","2","5","OAK"
"800","4","4","OAK"
"801","8","7","TBR"
"802","4","1","TBR"
"803","2","8","OAK"
"804","4","8","OAK"
"805","8","7","TBR"
"806","5","2","TBR"
"807","1","7","OAK"
"808","2","8","OAK"
"809","5","4","TBR"
"810","10","10","OAK"
"811","4","9","OAK"
"812","1","8","OAK"
"813","0","3","OAK"
"814","11","11","OAK"
"815","1","5","OAK"
"816","5","2","TBR"
"817","2","6","OAK"
"818","6","8","OAK"
"819","2","6","OAK"
"820","8","9","OAK"
"821","2","13","OAK"
"822","10","3","TBR"
"823","8","10","OAK"
"824","2","14","OAK"
"825","1","9","OAK"
"826","2","3","OAK"
"827","3","2","TBR"
"828","2","4","OAK"
"829","5","5","OAK"
"830","4","3","TBR"
"831","9","1","TBR"
"832","2","5","OAK"
"833","0","17","OAK"
"834","8","8","OAK"
"835","3","2","TBR"
"836","5","5","OAK"
"837","4","4","TBR"
"838","2","5","OAK"
"839","6","7","OAK"
"840","3","7","OAK"
"841","5","3","TBR"
"842","5","3","TBR"
"843","6","9","OAK"
"844","6","11","OAK"
"845","6","8","OAK"
"846","1","6","OAK"
"847","4","6","OAK"
"848","5","6","OAK"
"849","4","14","OAK"
"850","13","2","TBR"
"851","6","6","OAK"
"852","4","1","TBR"
"853","5","8","OAK"
"854","10","5","TBR"
"855","9","3","TBR"
"856","5","8","OAK"
"857","11","9","TBR"
"858","2","1","TBR"
"859","10","3","TBR"
"860","6","4","TBR"
"861","7","5","TBR"
"862","5","2","TBR"
"863","4","5","OAK"
"864","7","4","TBR"
"865","1","3","OAK"
"866","2","6","OAK"
"867","8","4","TBR"
"868","2","1","TBR"
"869","7","6","TBR"
"870","7","9","OAK"
"871","9","7","TBR"
"872","5","1","TBR"
"873","3","7","OAK"
"874","8","10","OAK"
"875","2","2","TBR"
"876","2","6","OAK"
"877","2","2","OAK"
"878","3","10","OAK"
"879","3","8","OAK"
"880","5","7","OAK"
"881","11","2","TBR"
"882","9","9","TBR"
