"","WSN","LAD","Series Winner"
"939","0","3","LAD"
"940","0","3","LAD"
"941","0","3","LAD"
"942","0","3","LAD"
"943","3","2","WSN"
"944","0","3","LAD"
"945","0","3","LAD"
"946","2","3","LAD"
"947","3","1","WSN"
"948","1","3","LAD"
"949","2","3","LAD"
"950","1","3","LAD"
"951","3","0","WSN"
"952","2","3","LAD"
"953","1","3","LAD"
"954","1","3","LAD"
"955","3","1","WSN"
"956","2","3","LAD"
"957","2","3","LAD"
"958","2","3","LAD"
"959","1","3","LAD"
"960","1","3","LAD"
"961","1","3","LAD"
"962","0","3","LAD"
"963","3","0","WSN"
"964","2","3","LAD"
"965","3","0","WSN"
"966","2","3","LAD"
"967","3","0","WSN"
"968","2","3","LAD"
"969","0","3","LAD"
"970","0","3","LAD"
"971","3","0","WSN"
"972","0","3","LAD"
"973","1","3","LAD"
"974","0","3","LAD"
"975","2","3","LAD"
"976","0","3","LAD"
"977","0","3","LAD"
"978","0","3","LAD"
"979","3","0","WSN"
"980","3","1","WSN"
"981","1","3","LAD"
"982","3","1","WSN"
"983","0","3","LAD"
"984","2","3","LAD"
"985","2","3","LAD"
"986","2","3","LAD"
"987","1","3","LAD"
"988","2","3","LAD"
"989","3","2","WSN"
"990","0","3","LAD"
"991","3","2","WSN"
"992","1","3","LAD"
"993","1","3","LAD"
"994","2","3","LAD"
"995","3","1","WSN"
"996","2","3","LAD"
"997","1","3","LAD"
"998","1","3","LAD"
"999","0","3","LAD"
"1000","0","3","LAD"
"1001","0","3","LAD"
"1002","2","3","LAD"
"1003","2","3","LAD"
"1004","2","3","LAD"
"1005","0","3","LAD"
"1006","0","3","LAD"
"1007","2","3","LAD"
"1008","3","1","WSN"
"1009","2","3","LAD"
"1010","3","1","WSN"
"1011","2","3","LAD"
"1012","2","3","LAD"
"1013","1","3","LAD"
"1014","2","3","LAD"
"1015","1","3","LAD"
"1016","0","3","LAD"
"1017","2","3","LAD"
"1018","3","2","WSN"
"1019","2","3","LAD"
"1020","2","3","LAD"
"1021","1","3","LAD"
"1022","2","3","LAD"
"1023","0","3","LAD"
"1024","3","0","WSN"
"1025","3","2","WSN"
"1026","1","3","LAD"
"1027","0","3","LAD"
"1028","2","3","LAD"
"1029","2","3","LAD"
"1030","1","3","LAD"
"1031","1","3","LAD"
"1032","2","3","LAD"
"1033","0","3","LAD"
"1034","1","3","LAD"
"1035","2","3","LAD"
"1036","2","3","LAD"
"1037","1","3","LAD"
"1038","1","3","LAD"
"1039","0","3","LAD"
"1040","1","3","LAD"
"1041","2","3","LAD"
"1042","1","3","LAD"
"1043","0","3","LAD"
"1044","2","3","LAD"
"1045","0","3","LAD"
"1046","3","1","WSN"
"1047","3","2","WSN"
"1048","3","2","WSN"
"1049","3","1","WSN"
"1050","3","2","WSN"
"1051","1","3","LAD"
"1052","1","3","LAD"
"1053","2","3","LAD"
"1054","1","3","LAD"
"1055","3","2","WSN"
"1056","2","3","LAD"
"1057","2","3","LAD"
"1058","3","1","WSN"
"1059","3","1","WSN"
"1060","2","3","LAD"
"1061","1","3","LAD"
"1062","3","0","WSN"
"1063","3","1","WSN"
"1064","3","2","WSN"
