Rk,Name,Age,Tm,PA,H,2B,3B,HR,BB,HBP
282,Jerry Blevins*\blevije01,35,ATL,0,0,0,0,0,0,0
283,Ray Black\blackra01,29,TOT,0,0,0,0,0,0,0
284,Jesse Biddle*\biddlje01,27,ATL,0,0,0,0,0,0,0
285,Chad Bettis\bettich01,30,COL,10,0,0,0,0,2,0
286,Travis Bergen*\bergetr01,25,SFG,0,0,0,0,0,0,0
287,Tyler Beede\beedety01,26,SFG,43,4,0,0,0,3,0
288,David Bednar*\bednada01,24,SDP,0,0,0,0,0,0,0
289,Trevor Bauer\bauertr01,28,CIN,16,2,0,0,0,2,0
290,Tyler Bashlor\bashlty01,26,NYM,0,0,0,0,0,0,0
291,Kyle Barraclough\barraky01,29,TOT,0,0,0,0,0,0,0
292,Jacob Barnes\barneja01,29,MIL,0,0,0,0,0,0,0
293,Pedro Baez\baezpe01,31,LAD,0,0,0,0,0,0,0
294,Michel Baez\baezmi01,23,SDP,0,0,0,0,0,0,0
295,Luis Avilan*\avilalu01,29,NYM,0,0,0,0,0,0,0
296,Jake Arrieta\arrieja01,33,PHI,50,7,1,0,0,1,0
297,Chris Archer\archech01,30,PIT,41,4,0,0,0,3,0
298,Matt Andriese\andrima01,29,ARI,6,0,0,0,0,0,0
299,Shaun Anderson\andersh01,24,SFG,28,2,1,0,0,0,0
300,Nick Anderson\anderni01,28,MIA,0,0,0,0,0,0,0
301,Chase Anderson\anderch01,31,MIL,44,4,1,0,0,2,0
302,Jose Alvarez*\alvarjo02,30,PHI,0,0,0,0,0,0,0
303,Yency Almonte#\almonye01,25,COL,5,0,0,0,0,0,0
304,Scott Alexander*\alexasc02,29,LAD,0,0,0,0,0,0,0
305,Sandy Alcantara\alcansa01,23,MIA,63,5,1,0,0,1,0
306,Matt Albers*\alberma01,36,MIL,0,0,0,0,0,0,0
307,Dario Agrazal\agrazda01,24,PIT,24,2,0,0,0,0,1
308,Fernando Abad*\abadfe01,33,SFG,0,0,0,0,0,0,0
,TOTAL,,,4561,520,72,4,20,136,12
